instance,error
ex1223b,"Traceback (most recent call last):
  File ""examplegbd.py"", line 38, in <module>
    SolverFactory('mindtpy').solve(filename1.m, strategy='GBD')
  File ""/home/felicitg/Pyomo/pyomo/pyomo/contrib/mindtpy/MindtPy.py"", line 304, in solve
    self._MindtPy_iteration_loop()
  File ""/home/felicitg/Pyomo/pyomo/pyomo/contrib/mindtpy/MindtPy.py"", line 569, in _MindtPy_iteration_loop
    self._solve_GBD_master()
  File ""/home/felicitg/Pyomo/pyomo/pyomo/contrib/mindtpy/MindtPy.py"", line 851, in _solve_GBD_master
    options=self.mip_solver_kwargs)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/opt/base/solvers.py"", line 599, in solve
    self._presolve(*args, **kwds)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/solvers/plugins/solvers/GUROBI.py"", line 224, in _presolve
    ILMLicensedSystemCallSolver._presolve(self, *args, **kwds)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/opt/solver/shellcmd.py"", line 196, in _presolve
    OptSolver._presolve(self, *args, **kwds)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/opt/base/solvers.py"", line 696, in _presolve
    **kwds)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/opt/base/solvers.py"", line 767, in _convert_problem
    **kwds)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/opt/base/convert.py"", line 110, in convert_problem
    problem_files, symbol_map = converter.apply(*tmp, **tmpkw)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/solvers/plugins/converter/model.py"", line 96, in apply
    io_options=io_options)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/core/base/block.py"", line 1681, in write
    io_options)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/repn/plugins/cpxlp.py"", line 176, in __call__
    include_all_variable_bounds=include_all_variable_bounds)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/repn/plugins/cpxlp.py"", line 719, in _print_model_LP
    ""with nonlinear terms."" % (constraint_data.name))
ValueError: Cannot write legal LP file.  Constraint 'MindtPy_linear_cuts.gbd_cuts[1]' has a body with nonlinear terms."
ibs2,"Traceback (most recent call last):
  File ""examplegbd.py"", line 64, in <module>
    SolverFactory('mindtpy').solve(filename1.m, strategy='GBD')
  File ""/home/felicitg/Pyomo/pyomo/pyomo/contrib/mindtpy/MindtPy.py"", line 304, in solve
    self._MindtPy_iteration_loop()
  File ""/home/felicitg/Pyomo/pyomo/pyomo/contrib/mindtpy/MindtPy.py"", line 569, in _MindtPy_iteration_loop
    self._solve_GBD_master()
  File ""/home/felicitg/Pyomo/pyomo/pyomo/contrib/mindtpy/MindtPy.py"", line 851, in _solve_GBD_master
    options=self.mip_solver_kwargs)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/opt/base/solvers.py"", line 599, in solve
    self._presolve(*args, **kwds)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/solvers/plugins/solvers/GUROBI.py"", line 224, in _presolve
    ILMLicensedSystemCallSolver._presolve(self, *args, **kwds)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/opt/solver/shellcmd.py"", line 196, in _presolve
    OptSolver._presolve(self, *args, **kwds)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/opt/base/solvers.py"", line 696, in _presolve
    **kwds)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/opt/base/solvers.py"", line 767, in _convert_problem
    **kwds)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/opt/base/convert.py"", line 110, in convert_problem
    problem_files, symbol_map = converter.apply(*tmp, **tmpkw)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/solvers/plugins/converter/model.py"", line 96, in apply
    io_options=io_options)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/core/base/block.py"", line 1681, in write
    io_options)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/repn/plugins/cpxlp.py"", line 176, in __call__
    include_all_variable_bounds=include_all_variable_bounds)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/repn/plugins/cpxlp.py"", line 719, in _print_model_LP
    ""with nonlinear terms."" % (constraint_data.name))
ValueError: Cannot write legal LP file.  Constraint 'MindtPy_linear_cuts.gbd_cuts[1]' has a body with nonlinear terms."
netmod_dol1,took over 2 days
netmod_dol2,took over 2 days
portfol_buyin,"ERROR: Solver (ipopt) returned non-zero return code (1)
ERROR: Solver log:
        Ipopt 3.12.8:

        ******************************************************************************
        This program contains Ipopt, a library for large-scale nonlinear optimization.
         Ipopt is released as open source code under the Eclipse Public License (EPL).
                 For more information visit http://projects.coin-or.org/Ipopt
        ******************************************************************************

        This is Ipopt version 3.12.8, running with linear solver ma27.

        Number of nonzeros in equality constraint Jacobian...:        8
        Number of nonzeros in inequality constraint Jacobian.:       35
        Number of nonzeros in Lagrangian Hessian.............:       36

        Error evaluating constraint 1: can't evaluate sqrt'(0).
Traceback (most recent call last):
  File ""examplegbd.py"", line 94, in <module>
    SolverFactory('mindtpy').solve(filename1.m, strategy='GBD')
  File ""/home/felicitg/Pyomo/pyomo/pyomo/contrib/mindtpy/MindtPy.py"", line 301, in solve
    self._MindtPy_initialize_master()
  File ""/home/felicitg/Pyomo/pyomo/pyomo/contrib/mindtpy/MindtPy.py"", line 434, in _MindtPy_initialize_master
    self._solve_NLP_subproblem()
  File ""/home/felicitg/Pyomo/pyomo/pyomo/contrib/mindtpy/MindtPy.py"", line 948, in _solve_NLP_subproblem
    options=self.nlp_solver_kwargs)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/opt/base/solvers.py"", line 626, in solve
    ""Solver (%s) did not exit normally"" % self.name)
pyutilib.common._exceptions.ApplicationError: Solver (ipopt) did not exit normally"
portfol_card,"ERROR: Solver (ipopt) returned non-zero return code (1)
ERROR: Solver log:
        Ipopt 3.12.8: 

        ******************************************************************************
        This program contains Ipopt, a library for large-scale nonlinear optimization.
         Ipopt is released as open source code under the Eclipse Public License (EPL).
                 For more information visit http://projects.coin-or.org/Ipopt
        ******************************************************************************

        This is Ipopt version 3.12.8, running with linear solver ma27.

        Number of nonzeros in equality constraint Jacobian...:        8
        Number of nonzeros in inequality constraint Jacobian.:       35
        Number of nonzeros in Lagrangian Hessian.............:       36

        Error evaluating constraint 1: can't evaluate sqrt'(0).
Traceback (most recent call last):
  File ""examplegbd.py"", line 99, in <module>
    SolverFactory('mindtpy').solve(filename1.m, strategy='GBD')
  File ""/home/felicitg/Pyomo/pyomo/pyomo/contrib/mindtpy/MindtPy.py"", line 301, in solve
    self._MindtPy_initialize_master()
  File ""/home/felicitg/Pyomo/pyomo/pyomo/contrib/mindtpy/MindtPy.py"", line 434, in _MindtPy_initialize_master
    self._solve_NLP_subproblem()
  File ""/home/felicitg/Pyomo/pyomo/pyomo/contrib/mindtpy/MindtPy.py"", line 948, in _solve_NLP_subproblem
    options=self.nlp_solver_kwargs)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/opt/base/solvers.py"", line 626, in solve
    ""Solver (%s) did not exit normally"" % self.name)
pyutilib.common._exceptions.ApplicationError: Solver (ipopt) did not exit normally"
rsyn0805h,"Traceback (most recent call last):
  File ""examplegbd.py"", line 100, in <module>
    SolverFactory('mindtpy').solve(filename1.m, strategy='GBD')
  File ""/home/felicitg/Pyomo/pyomo/pyomo/contrib/mindtpy/MindtPy.py"", line 304, in solve
    self._MindtPy_iteration_loop()
  File ""/home/felicitg/Pyomo/pyomo/pyomo/contrib/mindtpy/MindtPy.py"", line 569, in _MindtPy_iteration_loop
    self._solve_GBD_master()
  File ""/home/felicitg/Pyomo/pyomo/pyomo/contrib/mindtpy/MindtPy.py"", line 851, in _solve_GBD_master
    options=self.mip_solver_kwargs)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/opt/base/solvers.py"", line 599, in solve
    self._presolve(*args, **kwds)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/solvers/plugins/solvers/GUROBI.py"", line 224, in _presolve
    ILMLicensedSystemCallSolver._presolve(self, *args, **kwds)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/opt/solver/shellcmd.py"", line 196, in _presolve
    OptSolver._presolve(self, *args, **kwds)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/opt/base/solvers.py"", line 696, in _presolve
    **kwds)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/opt/base/solvers.py"", line 767, in _convert_problem
    **kwds)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/opt/base/convert.py"", line 110, in convert_problem
    problem_files, symbol_map = converter.apply(*tmp, **tmpkw)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/solvers/plugins/converter/model.py"", line 96, in apply
    io_options=io_options)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/core/base/block.py"", line 1681, in write
    io_options)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/repn/plugins/cpxlp.py"", line 176, in __call__
    include_all_variable_bounds=include_all_variable_bounds)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/repn/plugins/cpxlp.py"", line 719, in _print_model_LP
    ""with nonlinear terms."" % (constraint_data.name))
ValueError: Cannot write legal LP file.  Constraint 'MindtPy_linear_cuts.gbd_cuts[2]' has a body with nonlinear terms."
rsyn0805m02h,"Traceback (most recent call last):
  File ""examplegbd.py"", line 106, in <module>
    SolverFactory('mindtpy').solve(filename1.m, strategy='GBD')
  File ""/home/felicitg/Pyomo/pyomo/pyomo/contrib/mindtpy/MindtPy.py"", line 304, in solve
    self._MindtPy_iteration_loop()
  File ""/home/felicitg/Pyomo/pyomo/pyomo/contrib/mindtpy/MindtPy.py"", line 569, in _MindtPy_iteration_loop
    self._solve_GBD_master()
  File ""/home/felicitg/Pyomo/pyomo/pyomo/contrib/mindtpy/MindtPy.py"", line 851, in _solve_GBD_master
    options=self.mip_solver_kwargs)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/opt/base/solvers.py"", line 599, in solve
    self._presolve(*args, **kwds)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/solvers/plugins/solvers/GUROBI.py"", line 224, in _presolve
    ILMLicensedSystemCallSolver._presolve(self, *args, **kwds)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/opt/solver/shellcmd.py"", line 196, in _presolve
    OptSolver._presolve(self, *args, **kwds)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/opt/base/solvers.py"", line 696, in _presolve
    **kwds)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/opt/base/solvers.py"", line 767, in _convert_problem
    **kwds)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/opt/base/convert.py"", line 110, in convert_problem
    problem_files, symbol_map = converter.apply(*tmp, **tmpkw)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/solvers/plugins/converter/model.py"", line 96, in apply
    io_options=io_options)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/core/base/block.py"", line 1681, in write
    io_options)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/repn/plugins/cpxlp.py"", line 176, in __call__
    include_all_variable_bounds=include_all_variable_bounds)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/repn/plugins/cpxlp.py"", line 719, in _print_model_LP
    ""with nonlinear terms."" % (constraint_data.name))
ValueError: Cannot write legal LP file.  Constraint 'MindtPy_linear_cuts.gbd_cuts[2]' has a body with nonlinear terms."
rsyn0805m03h,"Traceback (most recent call last):
  File ""examplegbd.py"", line 108, in <module>
    SolverFactory('mindtpy').solve(filename1.m, strategy='GBD')
  File ""/home/felicitg/Pyomo/pyomo/pyomo/contrib/mindtpy/MindtPy.py"", line 304, in solve
    self._MindtPy_iteration_loop()
  File ""/home/felicitg/Pyomo/pyomo/pyomo/contrib/mindtpy/MindtPy.py"", line 569, in _MindtPy_iteration_loop
    self._solve_GBD_master()
  File ""/home/felicitg/Pyomo/pyomo/pyomo/contrib/mindtpy/MindtPy.py"", line 851, in _solve_GBD_master
    options=self.mip_solver_kwargs)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/opt/base/solvers.py"", line 599, in solve
    self._presolve(*args, **kwds)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/solvers/plugins/solvers/GUROBI.py"", line 224, in _presolve
    ILMLicensedSystemCallSolver._presolve(self, *args, **kwds)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/opt/solver/shellcmd.py"", line 196, in _presolve
    OptSolver._presolve(self, *args, **kwds)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/opt/base/solvers.py"", line 696, in _presolve
    **kwds)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/opt/base/solvers.py"", line 767, in _convert_problem
    **kwds)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/opt/base/convert.py"", line 110, in convert_problem
    problem_files, symbol_map = converter.apply(*tmp, **tmpkw)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/solvers/plugins/converter/model.py"", line 96, in apply
    io_options=io_options)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/core/base/block.py"", line 1681, in write
    io_options)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/repn/plugins/cpxlp.py"", line 176, in __call__
    include_all_variable_bounds=include_all_variable_bounds)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/repn/plugins/cpxlp.py"", line 719, in _print_model_LP
    ""with nonlinear terms."" % (constraint_data.name))
ValueError: Cannot write legal LP file.  Constraint 'MindtPy_linear_cuts.gbd_cuts[2]' has a body with nonlinear terms."
rsyn0805m04h,"Traceback (most recent call last):
  File ""examplegbd.py"", line 110, in <module>
    SolverFactory('mindtpy').solve(filename1.m, strategy='GBD')
  File ""/home/felicitg/Pyomo/pyomo/pyomo/contrib/mindtpy/MindtPy.py"", line 304, in solve
    self._MindtPy_iteration_loop()
  File ""/home/felicitg/Pyomo/pyomo/pyomo/contrib/mindtpy/MindtPy.py"", line 569, in _MindtPy_iteration_loop
    self._solve_GBD_master()
  File ""/home/felicitg/Pyomo/pyomo/pyomo/contrib/mindtpy/MindtPy.py"", line 851, in _solve_GBD_master
    options=self.mip_solver_kwargs)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/opt/base/solvers.py"", line 599, in solve
    self._presolve(*args, **kwds)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/solvers/plugins/solvers/GUROBI.py"", line 224, in _presolve
    ILMLicensedSystemCallSolver._presolve(self, *args, **kwds)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/opt/solver/shellcmd.py"", line 196, in _presolve
    OptSolver._presolve(self, *args, **kwds)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/opt/base/solvers.py"", line 696, in _presolve
    **kwds)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/opt/base/solvers.py"", line 767, in _convert_problem
    **kwds)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/opt/base/convert.py"", line 110, in convert_problem
    problem_files, symbol_map = converter.apply(*tmp, **tmpkw)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/solvers/plugins/converter/model.py"", line 96, in apply
    io_options=io_options)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/core/base/block.py"", line 1681, in write
    io_options)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/repn/plugins/cpxlp.py"", line 176, in __call__
    include_all_variable_bounds=include_all_variable_bounds)
  File ""/home/felicitg/Pyomo/pyomo/pyomo/repn/plugins/cpxlp.py"", line 719, in _print_model_LP
    ""with nonlinear terms."" % (constraint_data.name))
ValueError: Cannot write legal LP file.  Constraint 'MindtPy_linear_cuts.gbd_cuts[2]' has a body with nonlinear terms."
